date;conf;status1;s1
2000-12-31;;Normal value;133055930.973
2001-12-31;;Normal value;152854493.614
2002-12-31;;Normal value;154791634.567
2003-12-31;;Normal value;162227995.83
2004-12-31;;Normal value;177910018.174
2005-12-31;;Normal value;90522365.483
2006-12-31;;Normal value;98119982.753
2007-12-31;;Normal value;137330639.8
2008-12-31;;Normal value;139623270.514
2009-12-31;;Normal value;130461015.213
2010-12-31;;Normal value;133200666.197
2011-12-31;;Normal value;145836550.764
2012-12-31;;Normal value;145633307.956
2013-12-31;;Normal value;154257113.248
2014-12-31;;Normal value;144939412.019
2015-12-31;;Normal value;147668612.054
2016-12-31;;Normal value;145843440.156
2017-12-31;;Normal value;148174592.735
2018-12-31;;Normal value;146458644.8
2019-12-31;;Normal value;155120837.039
2020-12-31;;Normal value;166035230.948
2021-12-31;;Normal value;196950921.13