date;conf;status1;s1zz;s1
2000-12-31;;"Missing value; data cannot exist";1;
2001-12-31;;"Missing value; data cannot exist";1;
2002-12-31;;Normal value;;49354.44
2003-12-31;;Normal value;;56887.611
2004-12-31;;Normal value;;66851.867
2005-12-31;;Normal value;;76830.045
2006-12-31;;Normal value;;85274.554
2007-12-31;;Normal value;;96617.404
2008-12-31;;Normal value;;101911.611
2009-12-31;;Normal value;;98661.162
2010-12-31;;Normal value;;103644.187
2011-12-31;;Normal value;;107294.512
2012-12-31;;Normal value;;106714.51
2013-12-31;;Normal value;;108679.044
2014-12-31;;Normal value;;121913.722
2015-12-31;;Normal value;;131049.229
2016-12-31;;Normal value;;147755.558
2017-12-31;;Normal value;;166573.515
2018-12-31;;Normal value;;186695.987
2019-12-31;;Normal value;;210561.481
2020-12-31;;Normal value;;211660.573
2021-12-31;;Normal value;;255646.525