,exp_id,metric,rank,min,median,mean,std,max
0,None + LR + GSCV,F-Score,3.0,0.6608695652173914,0.71900826446281,0.7091928888736072,0.03871852126820274,0.7627118644067796
1,None + LR + GSCV,G-Mean,1.0,0.7275686755092818,0.8029025940910719,0.7918116070941857,0.032020365632482915,0.8339591267321056
2,None + LR + GSCV,Precision,9.0,0.6716417910447762,0.8345141700404858,0.8211079573287291,0.06314471864246718,0.9
3,None + LR + GSCV,Recall,1.0,0.5294117647058824,0.644927536231884,0.6281543052003411,0.04999893252800205,0.6956521739130435
4,None + LR + GSCV,ROC AUC,1.0,0.7646533834029201,0.8222668918854655,0.8139485278298387,0.024981658084365647,0.8477079612182359
5,None + LR + GSCV,Specificity,9.0,0.9994224963906024,0.9997637516241669,0.9997427504593365,0.00012412788322756685,0.999895002099958
6,ROS + LR + GSCV,F-Score,84.0,0.07167235494880546,0.08578110080756099,0.08944201813177857,0.011654974567548998,0.10590277777777778
7,ROS + LR + GSCV,G-Mean,1.0,0.9201221965710561,0.9326345292229492,0.9373494099581899,0.014582652320433072,0.9667280625762111
8,ROS + LR + GSCV,Precision,84.0,0.037300177619893425,0.04494156318480643,0.0470898598833281,0.006501571771340906,0.056338028169014086
9,ROS + LR + GSCV,Recall,1.0,0.8695652173913043,0.9044117647058824,0.9097399829497016,0.030825112557522103,0.9705882352941176
10,ROS + LR + GSCV,ROC AUC,1.0,0.9215919012537306,0.933074434364735,0.937933566635294,0.014166204168696774,0.9667357388146356
11,ROS + LR + GSCV,Specificity,85.0,0.9573172332327077,0.965285069298614,0.9661271503208866,0.005328425941687534,0.973618585116157
12,RUS + LR + GSCV,F-Score,62.0,0.09891808346213292,0.11867707625770615,0.11880103293363768,0.014531676552620245,0.145320197044335
13,RUS + LR + GSCV,G-Mean,2.0,0.9156147379686118,0.9355449831912838,0.9359204196488224,0.01437662544618424,0.9653340735890032
14,RUS + LR + GSCV,Precision,62.0,0.052244897959183675,0.06336351764193748,0.06370911703834559,0.008457657020440462,0.07940780619111709
15,RUS + LR + GSCV,Recall,19.0,0.855072463768116,0.8985507246376812,0.8980179028132993,0.029688954454153444,0.9558823529411765
16,RUS + LR + GSCV,ROC AUC,1.0,0.9177580457703948,0.9363077812714591,0.9368749420590115,0.013728775485760965,0.9653808026780641
17,RUS + LR + GSCV,Specificity,63.0,0.969523559522247,0.9755220424204194,0.9757319813047237,0.0038235660506735353,0.9820448877805487
18,SMOTE + LR + GSCV,F-Score,81.0,0.09462710505212511,0.1542955278738306,0.1498904770560478,0.024524338730218455,0.17893217893217891
19,SMOTE + LR + GSCV,G-Mean,1.0,0.9080773055791508,0.9365297491606617,0.9340038569298305,0.01725635645783108,0.959863554796909
20,SMOTE + LR + GSCV,Precision,81.0,0.05004240882103478,0.08447893569844789,0.08208017578164913,0.014501654770055246,0.09935897435897435
21,SMOTE + LR + GSCV,Recall,1.0,0.8405797101449275,0.8904518329070759,0.8892796248934356,0.03310750907904026,0.9411764705882353
22,SMOTE + LR + GSCV,ROC AUC,1.0,0.9107872956814675,0.9377315945260902,0.9353066740028453,0.016409580392215597,0.9600490710774019
23,SMOTE + LR + GSCV,Specificity,80.0,0.9706005879882402,0.9824388517807804,0.9813337231122551,0.004380334492660425,0.9858249114056963
24,None + RFC + GSCV,F-Score,1.0,0.7966101694915255,0.839989759344598,0.8342454359718048,0.016143216890976808,0.859375
25,None + RFC + GSCV,G-Mean,1.0,0.8253021623604188,0.867041610076045,0.8679019662692976,0.01785578121532794,0.8927585077164414
26,None + RFC + GSCV,Precision,1.0,0.9107142857142857,0.9310139756170086,0.9357503136363233,0.01913081860978048,0.9622641509433962
27,None + RFC + GSCV,Recall,1.0,0.6811594202898551,0.7518115942028986,0.7536445012787725,0.030706436217548976,0.7971014492753623
28,None + RFC + GSCV,ROC AUC,1.0,0.840553459980864,0.8758729847408964,0.8767750008264089,0.015342961421000698,0.8984982243095542
29,None + RFC + GSCV,Specificity,1.0,0.9998687491796824,0.9998949993437459,0.9999055003740456,3.149976050189707e-05,0.999947501049979
30,ROS + RFC + GSCV,F-Score,40.0,0.2835820895522388,0.3714381623747183,0.36761732434841177,0.05360736330923387,0.46332046332046334
31,ROS + RFC + GSCV,G-Mean,1.0,0.8986002660079652,0.9207862950561124,0.9224124346606206,0.018444236035983292,0.9608595046675542
32,ROS + RFC + GSCV,Precision,40.0,0.17065868263473055,0.235729517569614,0.2355902882895625,0.042665366196928026,0.3157894736842105
33,ROS + RFC + GSCV,Recall,1.0,0.8115942028985508,0.8529411764705882,0.8556265984654733,0.0342127312326972,0.927536231884058
34,ROS + RFC + GSCV,ROC AUC,1.0,0.9032639606171452,0.9234847104528499,0.9252132535912423,0.017227446885833123,0.9614581015044388
35,ROS + RFC + GSCV,Specificity,40.0,0.9927288954220915,0.9949862837793776,0.9947999087170114,0.0011721373836812952,0.9965874786717417
36,RUS + RFC + GSCV,F-Score,38.0,0.12163509471585245,0.1453724815934183,0.15646938864822918,0.03355083492585345,0.23217922606924646
37,RUS + RFC + GSCV,G-Mean,1.0,0.9045285851761932,0.9341378860417383,0.9328356263018138,0.01448230548991117,0.9562238104358273
38,RUS + RFC + GSCV,Precision,38.0,0.06524064171122995,0.0790328031873753,0.08632821526399585,0.02093497165554191,0.13507109004739337
39,RUS + RFC + GSCV,Recall,3.0,0.8260869565217391,0.8905583972719523,0.8862958226768967,0.028929232079360663,0.927536231884058
40,RUS + RFC + GSCV,ROC AUC,1.0,0.9082528233192763,0.9352653204288854,0.9342085193607674,0.013586604083565327,0.9566674465628454
41,RUS + RFC + GSCV,Specificity,38.0,0.9766111038193989,0.9810345041786657,0.9821212160446382,0.004154433586605894,0.9904186901168133
42,SMOTE + RFC + GSCV,F-Score,33.0,0.4491228070175438,0.5029872495446266,0.49962813325121197,0.033933514763204546,0.5656565656565657
43,SMOTE + RFC + GSCV,G-Mean,1.0,0.8997020366769443,0.9260195336704902,0.9250713238816652,0.019219521108795087,0.9611635340504036
44,SMOTE + RFC + GSCV,Precision,33.0,0.2962962962962963,0.3566300366300366,0.35415380223528115,0.037515652106868864,0.43410852713178294
45,SMOTE + RFC + GSCV,Recall,1.0,0.8115942028985508,0.8602941176470589,0.8586104006820119,0.03610745395614412,0.927536231884058
46,SMOTE + RFC + GSCV,ROC AUC,1.0,0.9044845932460992,0.9285392784791363,0.9278667074052602,0.017862934856935478,0.9617731034732011
47,SMOTE + RFC + GSCV,Specificity,33.0,0.9960099750623441,0.9971781425048754,0.9971230141285087,0.000531409662421454,0.9980837380233627
